French,English
histoire,history
chercher,search
seulement,only
pensais,thought
demande,request
genre,kind
frère,brother
car,because
mettre,to put
laisse,leash
eux,them
chaque,each
parlé,speak
bébé,baby
pendant,while
compris,understood
étaient,were
voici,here is
pourrais,could
affaire,case
donner,give
leurs,their
donné,given
yeux,eyes
façon,way
côté,side
pouvoir,power
sois,be
matin,morning
venez,come
minutes,minutes
chambre,bedroom
aimerais,would like to
mari,husband
cause,cause
espère,hope
eau,water
parti,left
loin,far
filles,girls
